name,parent,type,hold_time,database
arxiv,arxiv,conf,always,dblp
aaai,aaai,conf,always,dblp
cvpr,cvpr,conf,always,dblp
iccv,iccv,conf,single,dblp
eccv,eccv,conf,double,dblp
ijcai,ijcai,conf,always,dblp
icml,icml,conf,always,dblp
iclr,iclr,conf,always,dblp
nips,nips,conf,always,dblp
icme,icmcs,conf,always,dblp
mm,mm,conf,always,dblp
mmi,mmi,journal,always,dblp
alt,alt,conf,always,dblp
tmi,tmi,journals,always,dblp
miccai,miccai,conf,always,dblp
jama,jama,journals,always,medhub
nbe,Nat Biomed Eng,journals,always,medhub
